;+
;> TEMPLATE34 = '08572+3915'
;> TEMPLATE68 = '00183-7111'
;
;  The 3.4 um HAC feature of 08572+3915 has tau=0.8 from
;  Imanishi et al. (2006), and the 6.85 um HAC feature from 
;  the GTO Spitzer/IRS spectrum has tau=0.24, giving a HAC
;  tau(3.4)/tau(6.85)~3.3.
;-

;~            WAVE          OPACITY
     1.0000000E+00    0.0000000E+00
     2.0000000E+00    0.0000000E+00
     2.8000000E+00    0.0000000E+00
     2.8058970E+00    0.0000000E+00
     2.8118064E+00    0.0000000E+00
     2.8177282E+00    0.0000000E+00
     2.8236626E+00    0.0000000E+00
     2.8296094E+00    0.0000000E+00
     2.8355687E+00    0.0000000E+00
     2.8415406E+00    0.0000000E+00
     2.8475251E+00    0.0000000E+00
     2.8535222E+00    0.0000000E+00
     2.8595319E+00    0.0000000E+00
     2.8655543E+00    0.0000000E+00
     2.8715893E+00    0.0000000E+00
     2.8776371E+00    0.0000000E+00
     2.8836976E+00    0.0000000E+00
     2.8897708E+00    0.0000000E+00
     2.8958569E+00    0.0000000E+00
     2.9019557E+00    0.0000000E+00
     2.9080674E+00    0.0000000E+00
     2.9141920E+00    0.0000000E+00
     2.9203295E+00    0.0000000E+00
     2.9264799E+00    0.0000000E+00
     2.9326433E+00    0.0000000E+00
     2.9388196E+00    0.0000000E+00
     2.9450090E+00    0.0000000E+00
     2.9512114E+00    0.0000000E+00
     2.9574268E+00    0.0000000E+00
     2.9636553E+00    0.0000000E+00
     2.9698970E+00    0.0000000E+00
     2.9761518E+00    0.0000000E+00
     2.9824198E+00    0.0000000E+00
     2.9887009E+00    0.0000000E+00
     2.9949954E+00    0.0000000E+00
     3.0013030E+00    0.0000000E+00
     3.0076240E+00    0.0000000E+00
     3.0139582E+00    0.0000000E+00
     3.0203058E+00    0.0000000E+00
     3.0266668E+00    0.0000000E+00
     3.0330411E+00    0.0000000E+00
     3.0394289E+00    0.0000000E+00
     3.0458302E+00    0.0000000E+00
     3.0522449E+00    0.0000000E+00
     3.0586731E+00    0.0000000E+00
     3.0651149E+00    0.0000000E+00
     3.0715702E+00    0.0000000E+00
     3.0780392E+00    0.0000000E+00
     3.0845217E+00    0.0000000E+00
     3.0910179E+00    0.0000000E+00
     3.0975278E+00    0.0000000E+00
     3.1040514E+00    0.0000000E+00
     3.1105887E+00    0.0000000E+00
     3.1171399E+00    0.0000000E+00
     3.1237048E+00    0.0000000E+00
     3.1302835E+00    0.0000000E+00
     3.1368761E+00    0.0000000E+00
     3.1434825E+00    0.0000000E+00
     3.1501029E+00    0.0000000E+00
     3.1567373E+00    0.0000000E+00
     3.1633855E+00    0.0000000E+00
     3.1700478E+00    0.0000000E+00
     3.1767242E+00    0.0000000E+00
     3.1834146E+00    0.0000000E+00
     3.1901191E+00    0.0000000E+00
     3.1968377E+00    0.0000000E+00
     3.2035704E+00    0.0000000E+00
     3.2103173E+00    0.0000000E+00
     3.2170785E+00    0.0000000E+00
     3.2238539E+00    0.0000000E+00
     3.2306435E+00    0.0000000E+00
     3.2374475E+00    5.8493282E-02
     3.2442658E+00    1.3266879E-01
     3.2510984E+00    4.3630727E-02
     3.2579454E+00    1.1882355E-02
     3.2648069E+00    3.5182155E-02
     3.2716828E+00    5.8481956E-02
     3.2785732E+00    7.0777558E-02
     3.2854780E+00    8.6938140E-03
     3.2923975E+00    2.6009453E-03
     3.2993315E+00    5.6254186E-03
     3.3062801E+00    8.6498920E-03
     3.3132433E+00    2.5646866E-01
     3.3202213E+00    3.7466936E-01
     3.3272139E+00    4.9287005E-01
     3.3342212E+00    6.1107075E-01
     3.3412433E+00    7.4181440E-01
     3.3482802E+00    8.7569207E-01
     3.3553319E+00    1.3850758E+00
     3.3623984E+00    2.3386512E+00
     3.3694799E+00    2.9274244E+00
     3.3765762E+00    3.2191030E+00
     3.3836875E+00    3.2034785E+00
     3.3908138E+00    3.1878540E+00
     3.3979551E+00    3.0591033E+00
     3.4051114E+00    3.1291784E+00
     3.4122828E+00    3.2347803E+00
     3.4194693E+00    2.9712629E+00
     3.4266709E+00    2.6455883E+00
     3.4338877E+00    2.4326576E+00
     3.4411197E+00    2.3810290E+00
     3.4483669E+00    2.1445148E+00
     3.4556294E+00    1.8624128E+00
     3.4629072E+00    1.9478606E+00
     3.4702003E+00    2.0806541E+00
     3.4775088E+00    1.9854441E+00
     3.4848326E+00    2.0338357E+00
     3.4921719E+00    2.0711515E+00
     3.4995267E+00    1.6845237E+00
     3.5068969E+00    1.3613669E+00
     3.5142827E+00    1.1263282E+00
     3.5216840E+00    9.2285409E-01
     3.5291009E+00    7.6138557E-01
     3.5365334E+00    5.7979238E-01
     3.5439816E+00    4.1678663E-01
     3.5514454E+00    3.1490478E-01
     3.5589250E+00    2.3998731E-01
     3.5664204E+00    1.8563390E-01
     3.5739315E+00    1.8616545E-01
     3.5814584E+00    1.8063679E-01
     3.5890012E+00    1.5212411E-01
     3.5965599E+00    8.1816935E-02
     3.6041345E+00    1.2770422E-03
     3.6117250E+00    8.4225112E-04
     3.6193316E+00    4.0746002E-04
     3.6269541E+00    5.9449157E-03
     3.6345927E+00    1.0051846E-01
     3.6422474E+00    5.9749792E-02
     3.6499182E+00    1.3660593E-02
     3.6576052E+00    1.3589280E-01
     3.6653084E+00    8.3976093E-02
     3.6730277E+00    3.2611612E-02
     3.6807634E+00    1.0770633E-02
     3.6885153E+00    3.8361417E-02
     3.6962836E+00    1.1404568E-01
     3.7040682E+00    1.8900915E-01
     3.7118692E+00    2.2995116E-01
     3.7196866E+00    1.0430382E-01
     3.7275206E+00    1.3108121E-02
     3.7353710E+00    4.7304284E-03
     3.7432379E+00    0.0000000E+00
     3.7511214E+00    0.0000000E+00
     3.7590215E+00    0.0000000E+00
     3.7669383E+00    0.0000000E+00
     3.7748717E+00    0.0000000E+00
     3.7828218E+00    0.0000000E+00
     3.7907887E+00    0.0000000E+00
     3.7987724E+00    0.0000000E+00
     3.8067728E+00    0.0000000E+00
     3.8147901E+00    8.6318795E-04
     3.8228243E+00    2.1623121E-03
     3.8308755E+00    3.4614363E-03
     3.8389435E+00    3.7283531E-03
     3.8470286E+00    3.6986684E-03
     3.8551307E+00    3.6689837E-03
     3.8632499E+00    3.6392991E-03
     3.8713861E+00    3.6096144E-03
     3.8795395E+00    3.5799297E-03
     3.8877101E+00    3.5502450E-03
     3.8958979E+00    3.5205603E-03
     3.9041029E+00    3.4908756E-03
     3.9123252E+00    3.4611909E-03
     3.9205648E+00    3.4315062E-03
     3.9288218E+00    3.4018215E-03
     3.9370961E+00    3.3721369E-03
     3.9453879E+00    3.3424522E-03
     3.9536972E+00    3.3127675E-03
     3.9620239E+00    3.2830828E-03
     3.9703682E+00    3.2533981E-03
     3.9787301E+00    3.2237134E-03
     3.9871096E+00    3.1940287E-03
     3.9955067E+00    3.1643440E-03
     4.0039215E+00    3.1346593E-03
     4.0123540E+00    3.1049747E-03
     4.0208043E+00    3.0752900E-03
     4.0292724E+00    3.0456053E-03
     4.0377583E+00    3.0159206E-03
     4.0462621E+00    2.9862359E-03
     4.0547838E+00    2.9565512E-03
     4.0633234E+00    2.9268665E-03
     4.0718810E+00    2.8971818E-03
     4.0804567E+00    2.8674971E-03
     4.0890504E+00    2.8378125E-03
     4.0976622E+00    2.8081278E-03
     4.1062922E+00    2.7784431E-03
     4.1149403E+00    2.7487584E-03
     4.1236066E+00    2.7190737E-03
     4.1322912E+00    2.6893890E-03
     4.1409941E+00    2.6597043E-03
     4.1497153E+00    2.6300196E-03
     4.1584549E+00    2.6003349E-03
     4.1672129E+00    2.5706503E-03
     4.1759893E+00    2.5409656E-03
     4.1847842E+00    2.5112809E-03
     4.1935976E+00    2.4815962E-03
     4.2024296E+00    2.4519115E-03
     4.2112802E+00    2.4222268E-03
     4.2201495E+00    2.3925421E-03
     4.2290374E+00    2.3628574E-03
     4.2379440E+00    2.3331727E-03
     4.2468694E+00    2.3034881E-03
     4.2558136E+00    2.2738034E-03
     4.2647766E+00    2.2441187E-03
