;+
;> TEMPLATE31 = '00188-0856'
;> TEMPLATE61 = '00183-7111'
;
;  The 3.1 um H20 ice feature of 00188-0856 has tau=1.8
;  from Imanishi et al. (2006), and the 6.1 um H20 ice 
;  feature from the GTO Spitzer/IRS spectrum has tau=0.46,
;  giving tau(3.1)/tau(6.1)~4 for water ice.
;
;  The 00183-7111 GTO Spitzer/IRS spectrum was used as the
;  6.1 um template since it contains *no* detectable 6.2 um
;  PAH emission.
;-

;~            WAVE          OPACITY
     1.0000000E+00    0.0000000E+00
     2.0000000E+00    0.0000000E+00
     2.4852941E+00    0.0000000E+00
     2.4905283E+00    0.0000000E+00
     2.4957734E+00    0.0000000E+00
     2.5010298E+00    0.0000000E+00
     2.5062971E+00    0.0000000E+00
     2.5115755E+00    0.0000000E+00
     2.5168650E+00    0.0000000E+00
     2.5221657E+00    0.0000000E+00
     2.5274776E+00    0.0000000E+00
     2.5328006E+00    0.0000000E+00
     2.5381349E+00    0.0000000E+00
     2.5434803E+00    0.0000000E+00
     2.5488371E+00    0.0000000E+00
     2.5542051E+00    0.0000000E+00
     2.5595844E+00    0.0000000E+00
     2.5649751E+00    0.0000000E+00
     2.5703771E+00    0.0000000E+00
     2.5757904E+00    0.0000000E+00
     2.5812152E+00    0.0000000E+00
     2.5866515E+00    0.0000000E+00
     2.5920991E+00    0.0000000E+00
     2.5975583E+00    0.0000000E+00
     2.6030289E+00    0.0000000E+00
     2.6085111E+00    0.0000000E+00
     2.6140048E+00    0.0000000E+00
     2.6195100E+00    0.0000000E+00
     2.6250268E+00    0.0000000E+00
     2.6305554E+00    0.0000000E+00
     2.6360955E+00    0.0000000E+00
     2.6416473E+00    0.0000000E+00
     2.6472107E+00    0.0000000E+00
     2.6527860E+00    0.0000000E+00
     2.6583729E+00    0.0000000E+00
     2.6639717E+00    0.0000000E+00
     2.6695821E+00    0.0000000E+00
     2.6752044E+00    0.0000000E+00
     2.6808386E+00    0.0000000E+00
     2.6864846E+00    0.0000000E+00
     2.6921425E+00    0.0000000E+00
     2.6978124E+00    0.0000000E+00
     2.7034942E+00    0.0000000E+00
     2.7091879E+00    0.0000000E+00
     2.7148936E+00    1.2710898E-02
     2.7206113E+00    1.3065514E-01
     2.7263412E+00    2.4859938E-01
     2.7320830E+00    3.6654363E-01
     2.7378369E+00    4.8448787E-01
     2.7436030E+00    6.0243211E-01
     2.7493812E+00    7.2037636E-01
     2.7551716E+00    8.3832060E-01
     2.7609742E+00    9.2899127E-01
     2.7667890E+00    9.9782479E-01
     2.7726160E+00    1.0666583E+00
     2.7784554E+00    1.1354918E+00
     2.7843069E+00    1.2043253E+00
     2.7901709E+00    1.2731589E+00
     2.7960472E+00    1.3419924E+00
     2.8019358E+00    1.4108259E+00
     2.8078368E+00    1.4850371E+00
     2.8137504E+00    1.5806731E+00
     2.8196764E+00    1.6763091E+00
     2.8256148E+00    1.7719451E+00
     2.8315657E+00    1.8675811E+00
     2.8375291E+00    1.9632171E+00
     2.8435051E+00    2.0588531E+00
     2.8494938E+00    2.1544891E+00
     2.8554950E+00    2.2637792E+00
     2.8615089E+00    2.3746730E+00
     2.8675354E+00    2.4855668E+00
     2.8735747E+00    2.5964606E+00
     2.8796266E+00    2.7073544E+00
     2.8856912E+00    2.8182483E+00
     2.8917687E+00    2.9291421E+00
     2.8978590E+00    3.0400359E+00
     2.9039621E+00    3.1352255E+00
     2.9100779E+00    3.2266645E+00
     2.9162068E+00    3.3181035E+00
     2.9223485E+00    3.4095425E+00
     2.9285032E+00    3.5009815E+00
     2.9346708E+00    3.5924205E+00
     2.9408515E+00    3.6838595E+00
     2.9470451E+00    3.7325253E+00
     2.9532517E+00    3.7655748E+00
     2.9594715E+00    3.7986243E+00
     2.9657043E+00    3.8316738E+00
     2.9719503E+00    3.8647233E+00
     2.9782094E+00    3.8977728E+00
     2.9844818E+00    3.9308223E+00
     2.9907672E+00    3.8742786E+00
     2.9970660E+00    3.7896959E+00
     3.0033780E+00    3.7051133E+00
     3.0097034E+00    3.6205306E+00
     3.0160420E+00    3.5359480E+00
     3.0223940E+00    3.4513654E+00
     3.0287593E+00    3.3667827E+00
     3.0351381E+00    3.3647289E+00
     3.0415303E+00    3.3727206E+00
     3.0479360E+00    3.3807123E+00
     3.0543551E+00    3.3887040E+00
     3.0607878E+00    3.3966957E+00
     3.0672340E+00    3.4046874E+00
     3.0736938E+00    3.4126791E+00
     3.0801672E+00    3.3586588E+00
     3.0866542E+00    3.2780832E+00
     3.0931549E+00    3.1975076E+00
     3.0996694E+00    3.1169319E+00
     3.1061974E+00    3.0363563E+00
     3.1127393E+00    2.9557807E+00
     3.1192950E+00    2.8752051E+00
     3.1258644E+00    2.8251760E+00
     3.1324477E+00    2.7942952E+00
     3.1390448E+00    2.7634144E+00
     3.1456558E+00    2.7325336E+00
     3.1522808E+00    2.7016527E+00
     3.1589198E+00    2.6707719E+00
