;+
;> REFERENCE = 'Draine & Li (2001), Figure 17'
;> CNM = 'MMP ISRF w/ chi eq. 1.23,123 (nearly same)'
;> WIM = 'MMP ISRF w/ chi eq. 1.23,123 (nearly same) [nH<CNM, T>CNM, ne/nH>CNM]'
;> PDR = 'chi eq. 100 (higher chi gives lower P11/P7)'
;-

;~ N_C  P6_P7_CNM  P6_P7_WIM  P6_P7_PDR  P11_P7_CNM  P11_P7_WIM  P11_P7_PDR
   960   0.110634   0.103814   0.111049    0.777387    0.427001    0.197150
   720   0.130440   0.122399   0.131420	   0.676548    0.368400	   0.164287
   560   0.149815   0.140054   0.149815	   0.609600    0.331944	   0.142977
   420   0.174011   0.162066   0.174011	   0.535153    0.296511	   0.125516
   320   0.198367   0.185443   0.198367	   0.478028    0.267170	   0.113095
   240   0.226980   0.211399   0.226132	   0.423309    0.238650	   0.104593
   180   0.255861   0.239191   0.256820	   0.374853    0.216910	   0.099284
   140   0.283069   0.265619   0.284130	   0.343677    0.198870	   0.096731
   108   0.310835   0.291673   0.313171	   0.312369    0.183920	   0.095894
    84   0.337514   0.317895   0.340050	   0.312369    0.183920	   0.103689
    64   0.365113   0.345179   0.367856	   0.323409    0.193756	   0.117092
    48   0.392023   0.372010   0.396450	   0.349697    0.211332	   0.136902
    32   0.428868   0.411570   0.430477	   0.362057    0.220710	   0.160063
    24   0.451940   0.435337   0.451940	   0.419649    0.262570	   0.195446
    16   0.490730   0.479832   0.478040	   0.469798    0.384747	   0.218802
