;+
;> _WAVE  = 'um'
;> _K_ABS = 'cm+2 g-1'
;-

;~            WAVE            K_ABS
;     1.0000000E-03    1.0000000E+00
     8.2135600E+00    5.4309900E+02
     8.3407600E+00    6.2759841E+02
     8.4513500E+00    7.2899972E+02
     8.5446300E+00    8.4453078E+02
     8.6011000E+00    9.4581200E+02
     8.6389500E+00    1.0582971E+03
     8.6769600E+00    1.1383800E+03
     8.7920100E+00    1.4723600E+03
     8.8501100E+00    1.7335550E+03
     8.9085900E+00    1.8774600E+03
     8.9477900E+00    2.0660431E+03
     8.9674600E+00    2.1605361E+03
     8.9871700E+00    2.3675000E+03
     9.0069200E+00    2.7258650E+03
     9.0465500E+00    3.0025219E+03
     9.0863600E+00    3.3854550E+03
     9.0863600E+00    3.3854550E+03
     9.1063300E+00    3.4734843E+03
     9.1263500E+00    3.6666270E+03
     9.1464000E+00    3.7550772E+03
     9.1665100E+00    3.8437600E+03
     9.1866500E+00    3.9317996E+03
     9.2068400E+00    4.0550128E+03
     9.3084600E+00    4.2750201E+03
     9.3699700E+00    4.2660498E+03
     9.4112100E+00    4.1388058E+03
     9.4318900E+00    3.9919850E+03
     9.4526200E+00    3.6513650E+03
     9.4942100E+00    3.1761600E+03
     9.5150800E+00    2.7050600E+03
     9.5569500E+00    2.3571000E+03
     9.5990100E+00    2.0826450E+03
     9.6201000E+00    1.9472150E+03
     9.6412500E+00    1.8310366E+03
     9.6624400E+00    1.6963150E+03
     9.7262800E+00    1.8737000E+03
     9.7476600E+00    2.1561650E+03
     9.7905600E+00    2.5213933E+03
     9.8336400E+00    2.8982512E+03
     9.8769100E+00    2.9751724E+03
     9.9421800E+00    2.7456500E+03
     9.9640300E+00    2.3941000E+03
     9.9859300E+00    2.2721896E+03
     1.0007900E+01    2.1923275E+03
     1.0051900E+01    2.1797867E+03
     1.0096100E+01    2.3120351E+03
     1.0140600E+01    2.5298040E+03
     1.0162900E+01    2.7186950E+03
     1.0230000E+01    3.0912200E+03
     1.0252500E+01    3.2035466E+03
     1.0275000E+01    3.3170673E+03
     1.0297600E+01    3.5019450E+03
     1.0342900E+01    3.5907312E+03
     1.0480100E+01    3.6550777E+03
     1.0549300E+01    3.8065800E+03
     1.0572500E+01    4.0772700E+03
     1.0595700E+01    4.2575530E+03
     1.0619000E+01    4.4039050E+03
     1.0689200E+01    4.6148543E+03
     1.0736200E+01    4.4820586E+03
     1.0759800E+01    4.2741437E+03
     1.0807200E+01    3.9261650E+03
     1.0830900E+01    3.7603219E+03
     1.0854700E+01    3.5819650E+03
     1.0902500E+01    3.1708850E+03
     1.0950500E+01    2.8568700E+03
     1.0950500E+01    2.8568700E+03
     1.0974500E+01    2.6898800E+03
     1.1047100E+01    2.7937550E+03
     1.1071300E+01    2.8858075E+03
     1.1120100E+01    2.9347661E+03
     1.1169000E+01    2.8565200E+03
     1.1218100E+01    2.4715446E+03
     1.1267500E+01    2.2713284E+03
     1.1292300E+01    2.1481500E+03
     1.1317100E+01    2.0435731E+03
     1.1342000E+01    1.9603600E+03
     1.1442000E+01    1.9980959E+03
     1.1492400E+01    2.1471350E+03
     1.1517600E+01    2.4258944E+03
     1.1542900E+01    2.6300000E+03
     1.1593700E+01    2.9581800E+03
     1.1619200E+01    3.1122843E+03
     1.1644700E+01    3.2546300E+03
     1.1696000E+01    3.3059700E+03
     1.1773300E+01    3.0011550E+03
     1.1825100E+01    2.5566600E+03
     1.1851100E+01    2.3045600E+03
     1.1903200E+01    1.9379372E+03
     1.1955600E+01    1.6419904E+03
     1.1981900E+01    1.4677600E+03
     1.2034600E+01    1.2482350E+03
     1.2087600E+01    1.1027252E+03
     1.2167400E+01    9.4009302E+02
     1.2221000E+01    8.2775371E+02
     1.2328800E+01    6.9684772E+02
     1.2464800E+01    5.6508688E+02
     1.2657900E+01    4.8859633E+02
     1.2882200E+01    4.1060157E+02
     1.3168100E+01    3.6553350E+02
     1.3372000E+01    4.4423071E+02
     1.3460400E+01    5.2654850E+02
     1.3549300E+01    5.5722259E+02
     1.3698900E+01    6.7692993E+02
     1.3759200E+01    7.4019423E+02
     1.3850100E+01    7.1620764E+02
     1.3911000E+01    5.8727150E+02
     1.3941600E+01    5.5453439E+02
     1.3972200E+01    4.7520750E+02
