# wavelength_mu intensity
2.595000000000000195e+00 9.726220452911394920e-01
2.595099999999999962e+00 9.710353272601011110e-01
2.595200000000000173e+00 9.698856979407435297e-01
2.595299999999999940e+00 9.695495711576304076e-01
2.595400000000000151e+00 9.699737708917250956e-01
2.595499999999999918e+00 9.710389029632003899e-01
2.595600000000000129e+00 9.726912512228774732e-01
2.595699999999999896e+00 9.747060163920365783e-01
2.595800000000000107e+00 9.768240594358881257e-01
2.595899999999999874e+00 9.786470487257816764e-01
2.596000000000000085e+00 9.799975438499903824e-01
2.596099999999999852e+00 9.805165253470135012e-01
2.596200000000000063e+00 9.802344247009855405e-01
2.596299999999999830e+00 9.793144111454447076e-01
2.596400000000000041e+00 9.776451397051308945e-01
2.596499999999999808e+00 9.756181949276142573e-01
2.596600000000000019e+00 9.735626777375683272e-01
2.596699999999999786e+00 9.718020416483036383e-01
2.596799999999999997e+00 9.706486856788208994e-01
2.596900000000000208e+00 9.701860736029580545e-01
2.596999999999999975e+00 9.706514703682870282e-01
2.597100000000000186e+00 9.720973141636428672e-01
2.597199999999999953e+00 9.744932842465368061e-01
2.597300000000000164e+00 9.778077176941870619e-01
2.597399999999999931e+00 9.817873649904574895e-01
2.597500000000000142e+00 9.863109078014250519e-01
2.597599999999999909e+00 9.910244383625295139e-01
2.597700000000000120e+00 9.956806853688960901e-01
2.597799999999999887e+00 9.998763160761230395e-01
2.597900000000000098e+00 1.003518826036183587e+00
2.597999999999999865e+00 1.006298519215781173e+00
2.598100000000000076e+00 1.008317102534478593e+00
2.598199999999999843e+00 1.009436777852395162e+00
2.598300000000000054e+00 1.009856556776839831e+00
2.598399999999999821e+00 1.009718194689380732e+00
2.598500000000000032e+00 1.008893655180462146e+00
2.598599999999999799e+00 1.007515534877864827e+00
2.598700000000000010e+00 1.005622596023831639e+00
2.598800000000000221e+00 1.003294923610894562e+00
2.598899999999999988e+00 1.000679081741907339e+00
2.599000000000000199e+00 9.976208263895631756e-01
2.599099999999999966e+00 9.943657387172872841e-01
2.599200000000000177e+00 9.910880003145833284e-01
2.599299999999999944e+00 9.879441473465346846e-01
2.599400000000000155e+00 9.850091740694562059e-01
2.599499999999999922e+00 9.827864923503247807e-01
2.599600000000000133e+00 9.811699236608407704e-01
2.599699999999999900e+00 9.805617440458270773e-01
2.599800000000000111e+00 9.810467750129919784e-01
2.599899999999999878e+00 9.825118265408712137e-01
2.600000000000000089e+00 9.848295309698047451e-01
2.600200000000000067e+00 1.009759686682839774e+00
2.600400000000000045e+00 1.006839902836326184e+00
2.600600000000000023e+00 1.004234222772682372e+00
2.600800000000000001e+00 1.001963945030581282e+00
2.600999999999999979e+00 9.995278373075803247e-01
2.601199999999999957e+00 9.971457028059527161e-01
2.601399999999999935e+00 9.943721088114023665e-01
2.601599999999999913e+00 9.911689758252658633e-01
2.601799999999999891e+00 9.874489767204132074e-01
2.601999999999999869e+00 9.830081040333489284e-01
2.602199999999999847e+00 9.780377626047904727e-01
2.602399999999999824e+00 9.725992335668047772e-01
2.602599999999999802e+00 9.667467852715679877e-01
2.602799999999999780e+00 9.608860321208612110e-01
2.603000000000000203e+00 9.552227136404938257e-01
2.603200000000000180e+00 9.501186771026383093e-01
2.603400000000000158e+00 9.459793094730631902e-01
2.603600000000000136e+00 9.431637932183742912e-01
2.603800000000000114e+00 9.418035619081818188e-01
2.604000000000000092e+00 9.419939885659736056e-01
2.604200000000000070e+00 9.437574633924713519e-01
2.604400000000000048e+00 9.471969590792451710e-01
2.604600000000000026e+00 9.520731149166219431e-01
2.604800000000000004e+00 9.579590242592874727e-01
2.604999999999999982e+00 9.646279412425776689e-01
2.605199999999999960e+00 9.718074214892881146e-01
2.605399999999999938e+00 9.790728754657815891e-01
2.605599999999999916e+00 9.859117086148281306e-01
2.605799999999999894e+00 9.919965201319083103e-01
2.605999999999999872e+00 9.972018812026085532e-01
2.606199999999999850e+00 1.001337305692583168e+00
2.606399999999999828e+00 1.004121454977859207e+00
2.606599999999999806e+00 1.005566916349147633e+00
2.606799999999999784e+00 1.005842111722425880e+00
2.607000000000000206e+00 1.005078508624104305e+00
2.607200000000000184e+00 1.003459234007339607e+00
2.607400000000000162e+00 1.001228270192862313e+00
2.607600000000000140e+00 9.986730194921478176e-01
2.607800000000000118e+00 9.960113043335732108e-01
2.608000000000000096e+00 9.935008880266306130e-01
2.608200000000000074e+00 9.912347729451583822e-01
2.608400000000000052e+00 9.893993074498624862e-01
2.608600000000000030e+00 9.878943251368954570e-01
2.608800000000000008e+00 9.867666135234623992e-01
2.608999999999999986e+00 9.858371144565382105e-01
2.609199999999999964e+00 9.851106322048825970e-01
2.609399999999999942e+00 9.843482812799548842e-01
2.609599999999999920e+00 9.833943655830702513e-01
2.609799999999999898e+00 9.819892538011473215e-01
2.609999999999999876e+00 9.800819288839414112e-01
2.610199999999999854e+00 9.774269371349134650e-01
2.610399999999999832e+00 9.738913165223298529e-01
2.610599999999999810e+00 9.693749849844428557e-01
2.610799999999999788e+00 9.640027636970982527e-01
2.611000000000000210e+00 9.577698944421224603e-01
2.611200000000000188e+00 9.508515950460357802e-01
2.611400000000000166e+00 9.435316787308881681e-01
2.611600000000000144e+00 9.362024592673522383e-01
2.611800000000000122e+00 9.292874918803413209e-01
2.612000000000000099e+00 9.232668936822924222e-01
2.612200000000000077e+00 9.184681216837032869e-01
2.612400000000000055e+00 9.152432565264688735e-01
2.612600000000000033e+00 9.139092104921359150e-01
2.612800000000000011e+00 9.145424026959233510e-01
2.612999999999999989e+00 9.169328122020782290e-01
2.613199999999999967e+00 9.211862303932659701e-01
2.613399999999999945e+00 9.267977613367337497e-01
2.613599999999999923e+00 9.334697949422974261e-01
2.613799999999999901e+00 9.406811464773221498e-01
2.613999999999999879e+00 9.480532028942457723e-01
2.614199999999999857e+00 9.553004215714469005e-01
2.614399999999999835e+00 9.619968187125390591e-01
2.614599999999999813e+00 9.679929202326108539e-01
2.614799999999999791e+00 9.732681293309157766e-01
2.615000000000000213e+00 9.778414863092187437e-01
2.615200000000000191e+00 9.817731778463476555e-01
2.615400000000000169e+00 9.851714420144984663e-01
2.615600000000000147e+00 9.883228653893479931e-01
2.615800000000000125e+00 9.913349689850246005e-01
2.616000000000000103e+00 9.942678649146389214e-01
2.616200000000000081e+00 9.972396722512618661e-01
2.616400000000000059e+00 1.000067487811851841e+00
2.616600000000000037e+00 1.002799820259139940e+00
2.616800000000000015e+00 1.005256439938581048e+00
2.616999999999999993e+00 1.007183912358657230e+00
2.617199999999999971e+00 1.008281918716143144e+00
2.617399999999999949e+00 1.008328451024619099e+00
2.617599999999999927e+00 1.007203541285590642e+00
2.617799999999999905e+00 1.004859759171344624e+00
2.617999999999999883e+00 1.001410809811230207e+00
2.618199999999999861e+00 9.972190343591846862e-01
2.618399999999999839e+00 9.926328044871430833e-01
2.618599999999999817e+00 9.880872630583776850e-01
2.618799999999999795e+00 9.840133963368296044e-01
2.619000000000000217e+00 9.808821799901860095e-01
2.619200000000000195e+00 9.789628749427770060e-01
2.619400000000000173e+00 9.783773495835962342e-01
2.619600000000000151e+00 9.790885508059050668e-01
2.619800000000000129e+00 9.809191608252111338e-01
2.620000000000000107e+00 9.836375975452191778e-01
2.620200000000000085e+00 9.867878987644663757e-01
2.620400000000000063e+00 9.900894228291639010e-01
2.620600000000000041e+00 9.931563781585016626e-01
2.620800000000000018e+00 9.956316643209909278e-01
2.620999999999999996e+00 9.971100295366081001e-01
